participant,I_30250,I_30400,I_30550,I_40250,I_40400,I_40550,I_50250,I_50400,I_50550,interception,Open,Closed,age,Ckat_Tracking,Ckat_aiming,Ckat_Tracing,Attainment_Maths,Attainment_Reading,Attainment_Writing
1,4,4,0,4,4,2,1,5,2,26,2.443969,5.287156,6.392881588,15.558688,1.6538,1.567937794,2,1,2
2,0,1,1,0,1,3,0,1,1,8,5.342343,1.636711,5.960301164,17.0623135,1.8064,1.559246929,2,2,2
3,4,4,3,4,3,3,4,2,3,30,0.665599,1.021659,6.343600274,17.1328985,1.9494,1.309049148,2,2,3
4,1,3,0,1,1,2,5,4,1,18,4.504051,3.12042,6.127310062,14.5629755,2.0046,1.486434949,3,1,1
5,3,2,1,4,4,2,2,3,4,25,70.529144,13.842554,5.574264203,18.1698545,2.6778,1.980280882,1,1,1
6,5,2,3,4,4,2,6,4,2,32,19.526011,6.875259,6.444900753,,,,2,2,3
7,0,0,1,0,1,1,0,1,3,7,2.278246,6.844944,5.631759069,17.2710365,2.1512,1.537619949,2,1,2
8,3,4,2,2,3,2,3,2,4,25,1.102976,0.739057,6.373716632,22.208221,1.8324,1.303500756,2,2,2
9,4,2,3,0,2,3,2,3,4,23,0.924285,2.324769,5.954825462,13.269767,2.1022,1.972473185,2,2,2
10,1,4,4,4,1,3,3,4,3,27,1.802656,3.261793,6.242299795,15.1609605,1.9894,2.107004264,2,1,2
11,3,2,2,5,5,2,4,4,3,30,8.639832,11.535368,6.124572211,38.8140445,2.7206,,1,1,1
12,2,4,3,1,4,5,3,4,5,31,2.014847,3.71368,6.247775496,9.766413,1.9392,1.456790512,1,1,1
13,4,2,4,2,4,1,4,3,2,26,3.053395,3.41166,6.360027379,15.4557235,2.5866,1.39093201,2,2,3
14,1,0,1,0,1,1,4,1,2,11,6.550578,13.363084,5.960301164,,,,,,
15,3,4,3,3,5,0,4,3,2,27,2.126888,6.204102,6.209445585,21.4225845,1.6294,1.551570608,2,1,1
16,3,4,4,2,3,1,3,1,3,24,4.08701,6.181789,6.403832991,,,,,1,
17,0,2,0,1,2,0,5,2,0,12,1.68769,1.744358,5.94661191,43.2785875,1.9688,2.345497663,2,2,2
18,1,0,2,1,0,2,1,2,2,11,2.533617,7.662036,5.771389459,,,,,1,1
19,3,2,2,1,2,3,3,2,3,21,1.432436,4.258842,6.390143737,31.8989425,2.8614,,1,1,1
20,3,3,2,3,3,3,4,3,5,29,2.2531,5.433509,6.245037645,14.609727,3.0242,1.93460937,2,2,3
21,4,1,2,5,3,3,5,2,4,29,1.321585,2.824531,6.483230664,37.1526615,,,1,1,1
22,1,0,0,3,4,3,5,4,2,22,0.868377,1.152056,5.867214237,17.9382965,1.8434,1.656667514,1,1,1
23,3,1,2,3,2,2,6,5,4,28,2.340825,4.533471,6.255989049,,,,1,1,1
24,3,2,2,1,3,1,2,3,1,18,5.538254,12.546827,6.171115674,29.6780615,2.5262,2.646742328,1,1,1
25,2,2,2,1,4,0,5,4,2,22,23.254399,1.478126,6.154688569,20.165404,2.51,2.726220371,1,1,1
26,3,2,2,1,3,2,4,1,3,21,5.347916,28.054108,6.351813826,22.595565,2.1216,1.895367536,2,2,1
27,4,3,4,2,2,2,4,5,3,29,2.556257,1.217083,5.965776865,53.604276,2.3254,1.361147469,1,1,1
28,1,3,3,2,4,1,4,4,3,25,4.336454,2.077057,5.930184805,14.3507865,1.5724,1.110699085,2,2,2
29,3,2,2,2,4,4,3,4,4,28,3.271426,1.857469,5.735797399,21.02966,1.7532,1.687928439,,,
30,2,1,0,3,1,3,3,2,4,19,41.211039,17.186047,5.683778234,31.974295,2.0116,2.215240132,2,1,2
31,1,2,2,4,1,2,1,5,4,22,17.144447,6.262785,6.327173169,21.069714,1.727,3.341639219,2,2,2
32,4,3,3,5,5,4,5,5,1,35,2.734556,5.172775,6.368240931,9.3558485,1.5424,1.229974634,2,2,2
33,1,2,5,2,2,2,2,3,1,20,1.450346,3.174246,6.214921287,13.347921,1.9692,1.831099593,2,2,2
34,0,0,1,0,3,1,1,5,1,12,14.580474,3.834071,6.417522245,10.1768955,2.164,1.760851983,3,2,3
35,2,1,2,1,4,1,4,3,3,21,34.258159,39.409255,5.541409993,,,2.046642325,1,1,1
36,2,5,1,1,1,1,3,2,4,20,17.470996,8.794984,6.01779603,,,,,,1
37,0,1,0,0,0,1,0,0,1,3,6.650637,3.034713,5.993155373,12.151412,1.4922,1.507194098,1,1,1
38,1,1,0,1,1,1,4,3,2,14,1.121772,3.577695,5.541409993,15.983033,1.923,1.732578017,3,2,2
39,3,4,2,4,3,0,4,3,3,26,6.226482,7.334212,6.483230664,20.6085465,1.8746,2.393434502,3,2,3
40,2,2,2,3,4,1,3,5,0,22,47.686585,23.663638,5.656399726,41.969672,3.2912,2.597153538,2,1,1
41,0,2,1,0,2,1,3,1,1,11,18.832957,4.154763,5.67008898,12.2030225,1.7292,1.442408816,3,2,3
42,3,3,2,4,2,3,3,3,2,25,7.571009,4.791239,5.987679671,14.9667135,1.7156,1.844851735,1,1,1
43,2,4,0,4,4,2,4,5,2,27,20.542903,20.700938,6.184804928,11.057531,1.5204,1.599584202,3,3,3
44,1,2,1,3,5,3,5,1,3,24,27.353216,8.836936,6.036960986,44.147913,2.3142,1.947280996,1,1,1
45,0,0,0,0,0,2,1,1,2,6,21.439055,4.982127,5.538672142,43.137859,2.201,2.250022108,2,1,2
46,5,2,2,3,5,1,5,5,2,30,2.722396,4.239705,5.631759069,20.8294805,1.9164,1.60884463,3,3,3
47,4,3,0,4,1,3,5,4,4,28,5.280148,2.899884,5.817932923,19.3116165,2.2912,2.703374467,,,
48,2,4,4,2,3,5,3,2,4,29,2.807284,4.093518,5.927446954,13.437965,1.9062,1.857819385,3,2,2
49,1,1,2,2,3,6,1,4,3,23,6.85798,8.659027,5.850787132,12.8895795,1.5992,1.687903395,2,1,2
50,1,3,1,4,2,3,5,2,2,23,4.30899,3.932844,6.006844627,10.941281,,1.505689166,2,2,2
51,4,2,1,4,3,3,4,2,0,23,4.594701,3.752507,5.883641342,17.015233,2.2784,1.543623455,3,3,3
52,3,3,2,4,3,0,4,4,4,27,0,5.821863,5.798767967,14.781401,1.8474,1.667912866,2,1,2
53,4,3,2,2,4,3,5,4,4,31,45.330627,1.334153,6.710472279,29.764074,1.566,2.65109906,3,4,3
54,1,0,0,1,2,0,2,2,4,12,2.735956,2.92441,7.140314853,,,,3,,
55,3,4,3,6,5,5,3,4,3,36,1.200106,1.158106,7.197809719,21.6342555,2.0444,1.40515154,3,3,3
56,2,4,3,5,5,4,6,5,3,37,26.976036,25.617175,7.414099932,17.182322,1.67,1.703897442,5,5,4
57,3,3,1,3,5,1,6,6,2,30,5.239952,1.254859,6.614647502,9.7021755,1.5966,0.967974542,4,4,4
58,2,5,1,2,3,3,6,2,1,25,2.929821,1.812889,7.3045859,17.80958,2.0156,2.523883502,6,6,5
59,1,2,1,0,1,1,2,1,4,13,9.304446,1.950687,7.334702259,10.5816635,1.6232,1.613657123,4,5,3
60,4,2,2,5,3,1,4,3,3,27,4.282264,3.393794,7.088295688,28.0181125,2.1128,1.393196993,6,6,4
61,5,3,1,6,3,2,6,5,2,33,4.621046,5.939721,7.441478439,15.50994,2.082,1.771682606,6,5,5
62,4,2,2,4,1,5,1,1,2,22,2.262183,4.96323,7.34017796,25.332115,1.4666,1.473438762,5,6,5
63,2,0,2,4,4,3,5,5,3,28,3.109984,2.75934,6.995208761,15.012954,1.8936,1.346876886,6,6,6
64,0,1,4,4,1,2,2,0,3,17,39.757845,5.953323,6.57357974,26.249019,1.8398,1.477912846,3,3,4
65,2,2,3,2,3,2,4,4,5,27,23.782923,9.11365,7.397672827,14.13189,1.7038,1.303855192,5,5,4
66,0,0,1,1,1,3,1,0,2,9,5.110884,6.851474,6.568104038,15.280934,2.2202,1.985410603,5,4,4
67,2,1,3,2,4,2,3,4,0,21,20.549678,6.615885,6.951403149,16.4172265,2.1166,1.812957188,3,4,4
68,2,0,1,2,1,0,4,1,3,14,5.783367,4.069943,6.614647502,17.0758885,1.4052,1.239865868,6,6,5
