"","age","I_30250","I_30400","I_30550","I_40250","I_40400","I_40550","I_50250","I_50400","I_50550","interception","Ckat_Tracing","Ckat_aiming","Ckat_Tracking","Open","Closed","Attainment_Maths"
"1",6.392881588,4,4,0,4,4,2,1,5,2,26,1.567937794,1.6538,15.558688,2.443969,5.287156,2
"2",5.960301164,0,1,1,0,1,3,0,1,1,8,1.559246929,1.8064,17.0623135,5.342343,1.636711,2
"3",6.343600274,4,4,3,4,3,3,4,2,3,30,1.309049148,1.9494,17.1328985,0.665599,1.021659,2
"4",6.127310062,1,3,0,1,1,2,5,4,1,18,1.486434949,2.0046,14.5629755,4.504051,3.12042,3
"5",5.574264203,3,2,1,4,4,2,2,3,4,25,1.980280882,2.6778,18.1698545,70.529144,13.842554,1
"6",5.631759069,0,0,1,0,1,1,0,1,3,7,1.537619949,2.1512,17.2710365,2.278246,6.844944,2
"7",6.373716632,3,4,2,2,3,2,3,2,4,25,1.303500756,1.8324,22.208221,1.102976,0.739057,2
"8",5.954825462,4,2,3,0,2,3,2,3,4,23,1.972473185,2.1022,13.269767,0.924285,2.324769,2
"9",6.242299795,1,4,4,4,1,3,3,4,3,27,2.107004264,1.9894,15.1609605,1.802656,3.261793,2
"10",6.247775496,2,4,3,1,4,5,3,4,5,31,1.456790512,1.9392,9.766413,2.014847,3.71368,1
"11",6.360027379,4,2,4,2,4,1,4,3,2,26,1.39093201,2.5866,15.4557235,3.053395,3.41166,2
"12",6.209445585,3,4,3,3,5,0,4,3,2,27,1.551570608,1.6294,21.4225845,2.126888,6.204102,2
"13",5.94661191,0,2,0,1,2,0,5,2,0,12,2.345497663,1.9688,43.2785875,1.68769,1.744358,2
"14",6.245037645,3,3,2,3,3,3,4,3,5,29,1.93460937,3.0242,14.609727,2.2531,5.433509,2
"15",5.867214237,1,0,0,3,4,3,5,4,2,22,1.656667514,1.8434,17.9382965,0.868377,1.152056,1
"16",6.171115674,3,2,2,1,3,1,2,3,1,18,2.646742328,2.5262,29.6780615,5.538254,12.546827,1
"17",6.154688569,2,2,2,1,4,0,5,4,2,22,2.726220371,2.51,20.165404,23.254399,1.478126,1
